epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,699.496,1.92588,1.12965,1.4012,0.81188,0.76882,0.80742,0.3679,1.86417,1.06334,1.45435,0.000821206,0.000821206,0.000821206
43,716.516,1.95745,1.11652,1.397,0.79749,0.77131,0.79549,0.37032,1.86534,1.08697,1.46846,0.000800577,0.000800577,0.000800577
44,733.224,1.91103,1.11202,1.39536,0.81179,0.77907,0.81671,0.38278,1.84579,1.04219,1.45102,0.000779948,0.000779948,0.000779948
45,750.027,1.93283,1.10754,1.39481,0.78979,0.77803,0.81935,0.37871,1.85016,1.03195,1.45089,0.000759318,0.000759318,0.000759318
46,766.968,1.9301,1.10602,1.3905,0.81081,0.80956,0.81993,0.37388,1.88631,1.02028,1.48999,0.000738689,0.000738689,0.000738689
47,783.775,1.92555,1.07346,1.39771,0.81743,0.7985,0.83888,0.38834,1.85418,0.99188,1.45169,0.00071806,0.00071806,0.00071806
48,800.459,1.93308,1.07869,1.38324,0.81984,0.76862,0.80926,0.36838,1.87913,1.02205,1.49492,0.000697431,0.000697431,0.000697431
49,817.082,1.89991,1.05965,1.38609,0.80664,0.7477,0.80412,0.37174,1.8489,0.99306,1.46536,0.000676802,0.000676802,0.000676802
50,834.247,1.90602,1.05576,1.38735,0.82968,0.79685,0.83094,0.386,1.83,0.98056,1.44967,0.000656173,0.000656173,0.000656173
51,850.903,1.91059,1.05731,1.40105,0.81411,0.77205,0.81587,0.38059,1.853,1.03672,1.4597,0.000635544,0.000635544,0.000635544
52,867.487,1.9035,1.05572,1.38771,0.80315,0.76651,0.81889,0.38259,1.84328,1.0431,1.47548,0.000614915,0.000614915,0.000614915
53,884.089,1.85366,1.05173,1.3703,0.80925,0.79531,0.82277,0.38794,1.83117,1.00814,1.44994,0.000594286,0.000594286,0.000594286
54,900.604,1.89395,1.04825,1.37733,0.80378,0.82181,0.82865,0.38472,1.83937,1.00781,1.44394,0.000573656,0.000573656,0.000573656
55,917.017,1.86425,1.05717,1.37513,0.80888,0.7953,0.82582,0.38172,1.86601,0.97807,1.48201,0.000553027,0.000553027,0.000553027
56,933.472,1.89564,1.06202,1.39866,0.8091,0.79406,0.82325,0.37383,1.85805,1.04183,1.44872,0.000532398,0.000532398,0.000532398
57,950.176,1.86699,1.03063,1.36737,0.81262,0.80681,0.83272,0.3886,1.84691,1.00168,1.46585,0.000511769,0.000511769,0.000511769
58,967.047,1.88731,1.04668,1.38239,0.82108,0.78802,0.82728,0.38675,1.84226,0.99275,1.45586,0.00049114,0.00049114,0.00049114
59,984.073,1.88449,1.03534,1.35367,0.82272,0.81181,0.84941,0.39811,1.82487,0.97208,1.45195,0.000470511,0.000470511,0.000470511
60,1000.96,1.87965,1.00404,1.38034,0.81322,0.79263,0.82136,0.38975,1.82135,0.98104,1.44649,0.000449882,0.000449882,0.000449882
61,1017.86,1.87321,1.03828,1.36517,0.80604,0.76093,0.79764,0.38313,1.82027,1.00328,1.43404,0.000429253,0.000429253,0.000429253
62,1034.82,1.867,1.02227,1.36678,0.82506,0.77126,0.82367,0.38674,1.86098,0.98143,1.45397,0.000408623,0.000408623,0.000408623
63,1051.11,1.88029,1.03706,1.36605,0.82131,0.79159,0.83385,0.39102,1.81169,0.97467,1.43464,0.000387994,0.000387994,0.000387994
64,1067.53,1.85137,1.03688,1.36862,0.82986,0.8126,0.84509,0.39464,1.81479,0.95818,1.43814,0.000367365,0.000367365,0.000367365
65,1083.86,1.80475,1.0092,1.34648,0.80684,0.80483,0.83756,0.40053,1.79397,0.94771,1.42755,0.000346736,0.000346736,0.000346736
66,1101.31,1.85916,0.99982,1.34101,0.82081,0.80415,0.83668,0.39939,1.83141,0.95441,1.45242,0.000326107,0.000326107,0.000326107
67,1118.09,1.86778,0.99305,1.38181,0.81737,0.79766,0.83047,0.39273,1.82602,0.94579,1.43876,0.000305478,0.000305478,0.000305478
68,1134.77,1.81845,0.99402,1.33934,0.84377,0.79442,0.83961,0.3947,1.81434,0.9437,1.44046,0.000284849,0.000284849,0.000284849
